,datetime,open,close,high,low,volume,openinterest
0,20201224  04:00,642.5,642.0,644.2,642.0,9,
1,20201224  04:05,643.0,643.0,643.0,643.0,8,
2,20201224  04:10,643.0,643.0,643.0,643.0,0,
3,20201224  04:15,643.0,643.0,643.0,643.0,0,
4,20201224  04:20,643.0,643.0,643.0,643.0,0,
5,20201224  04:25,643.0,643.0,643.0,643.0,0,
6,20201224  04:30,644.5,644.88,644.88,644.5,3,
7,20201224  04:35,645.01,645.01,645.01,645.01,5,
8,20201224  04:40,645.01,645.01,645.01,645.01,0,
9,20201224  04:45,645.01,645.01,645.01,645.01,0,
10,20201224  04:50,645.01,645.01,645.01,645.01,0,
11,20201224  04:55,645.01,645.01,645.01,645.01,0,
12,20201224  05:00,645.0,645.33,645.33,645.0,2,
13,20201224  05:05,645.33,645.33,645.33,645.33,0,
14,20201224  05:10,645.33,645.33,645.33,645.33,0,
15,20201224  05:15,645.33,645.33,645.33,645.33,0,
16,20201224  05:20,645.33,645.33,645.33,645.33,0,
17,20201224  05:25,645.33,645.33,645.33,645.33,0,
18,20201224  05:30,645.33,645.33,645.33,645.33,0,
19,20201224  05:35,645.33,645.33,645.33,645.33,0,
20,20201224  05:40,645.33,645.33,645.33,645.33,0,
21,20201224  05:45,645.45,645.45,645.45,645.45,1,
22,20201224  05:50,645.6,645.6,645.6,645.6,2,
23,20201224  05:55,645.6,644.96,645.6,644.96,8,
24,20201224  06:00,644.6,644.55,644.6,644.53,5,
25,20201224  06:05,644.55,644.55,644.55,644.55,0,
26,20201224  06:10,644.55,644.55,644.55,644.55,0,
27,20201224  06:15,644.55,644.55,644.55,644.55,0,
28,20201224  06:20,644.55,644.55,644.55,644.55,0,
29,20201224  06:25,644.55,644.55,644.55,644.55,0,
30,20201224  06:30,644.55,644.55,644.55,644.55,0,
31,20201224  06:35,644.11,644.0,644.11,644.0,3,
32,20201224  06:40,644.0,644.0,644.0,644.0,0,
33,20201224  06:45,644.0,644.0,644.0,644.0,0,
34,20201224  06:50,645.0,646.0,646.2,645.0,14,
35,20201224  06:55,646.0,646.0,646.0,646.0,0,
36,20201224  07:00,644.87,644.44,645.09,644.11,13,
37,20201224  07:05,644.45,644.72,644.72,644.44,4,
38,20201224  07:10,644.78,644.78,644.78,644.78,1,
39,20201224  07:15,644.5,643.75,644.5,643.5,28,
40,20201224  07:20,643.58,644.5,644.5,643.5,29,
41,20201224  07:25,644.5,644.01,644.5,644.01,6,
42,20201224  07:30,644.5,644.54,644.9,644.5,9,
43,20201224  07:35,644.54,644.54,644.54,644.54,0,
44,20201224  07:40,644.2,643.27,644.2,643.27,32,
45,20201224  07:45,643.2,643.05,643.2,642.85,42,
46,20201224  07:50,643.16,644.0,644.0,643.16,20,
47,20201224  07:55,643.77,644.25,644.37,643.76,14,
